START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  9.9997547726526148E-01  1.0708272019024137E+00  6.6425821847014643E-01
  9.9997547726526148E-01 -1.0708272019024137E+00  6.6425821847014643E-01
 -9.9997547726526148E-01  1.0708272019024137E+00 -6.6425821847014643E-01
 -9.9997547726526148E-01 -1.0708272019024137E+00 -6.6425821847014643E-01
 -1.4999632158978922E+00  5.3541360095120683E-01  2.3154569896613764E-01
  1.4999632158978922E+00  5.3541360095120683E-01 -2.3154569896613764E-01
 -1.4999632158978922E+00 -5.3541360095120683E-01  2.3154569896613764E-01
  1.4999632158978922E+00 -5.3541360095120683E-01 -2.3154569896613764E-01
  1.4999632158978922E+00 -5.3541360095120683E-01  2.5962751170240528E-01
 -1.4999632158978922E+00 -5.3541360095120683E-01 -2.5962751170240528E-01
 -1.4999632158978922E+00  5.3541360095120683E-01 -2.5962751170240528E-01
  1.4999632158978922E+00  5.3541360095120683E-01  2.5962751170240528E-01
 -9.9997547726526148E-01  5.3541360095120683E-01 -1.1554314291386893E+00
 -9.9997547726526148E-01 -5.3541360095120683E-01 -1.1554314291386893E+00
  9.9997547726526148E-01 -5.3541360095120683E-01  1.1554314291386893E+00
  9.9997547726526148E-01  5.3541360095120683E-01  1.1554314291386893E+00
  4.9998773863263074E-01  0.0000000000000000E+00  1.5600621359064304E+00
 -4.9998773863263074E-01  0.0000000000000000E+00 -1.5600621359064304E+00
 -9.9997547726526148E-01  0.0000000000000000E+00  1.3004346242040252E+00
  9.9997547726526148E-01  0.0000000000000000E+00 -1.3004346242040252E+00
 -1.4999632158978922E+00  0.0000000000000000E+00  7.2271890963468055E-01
  1.4999632158978922E+00  0.0000000000000000E+00 -7.2271890963468055E-01
 -9.9997547726526148E-01  1.0708272019024137E+00  8.0926141353548231E-01
  9.9997547726526148E-01  1.0708272019024137E+00 -8.0926141353548231E-01
  9.9997547726526148E-01 -1.0708272019024137E+00 -8.0926141353548231E-01
 -9.9997547726526148E-01 -1.0708272019024137E+00  8.0926141353548231E-01
 -1.4999632158978922E+00  0.0000000000000000E+00 -7.5080072237094819E-01
  1.4999632158978922E+00  0.0000000000000000E+00  7.5080072237094819E-01
  0.0000000000000000E+00 -1.6062408028536206E+00 -4.9117321066854291E-01
  0.0000000000000000E+00  1.6062408028536206E+00 -4.9117321066854291E-01
  0.0000000000000000E+00 -1.6062408028536206E+00  4.9117321066854291E-01
  0.0000000000000000E+00  1.6062408028536206E+00  4.9117321066854291E-01
  4.9998773863263074E-01  1.6062408028536206E+00  8.6542503900801759E-02
 -4.9998773863263074E-01 -1.6062408028536206E+00 -8.6542503900801759E-02
  4.9998773863263074E-01 -1.6062408028536206E+00  8.6542503900801759E-02
 -4.9998773863263074E-01  1.6062408028536206E+00 -8.6542503900801759E-02
 -4.9998773863263074E-01  5.3541360095120683E-01 -1.5600621359064304E+00
  4.9998773863263074E-01  5.3541360095120683E-01  1.5600621359064304E+00
  4.9998773863263074E-01 -5.3541360095120683E-01  1.5600621359064304E+00
